count,mean,std,min,25%,50%,75%,max,criterion,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,random_state,max_leaf_nodes,min_impurity_decrease,min_impurity_split,n_estimators,n_jobs,random_id,train_size,nb_yes,algo,perf
914710.0,24.49297453695672,45.40903547868684,3.1126504283022377e-05,6.131329925841899,13.510186049013678,26.494235348784514,2938.6954379701874,mse,25,2,1,0.0,auto,,,1e-07,0,100,-1,0.6905403376479144,1000,1,rf,vmlinux
904710.0,20.25711618836613,30.001527408494216,3.604135117950196e-05,5.3230447237153395,11.72253826094295,22.820647770046516,1165.8194914845246,mse,25,2,1,0.0,auto,None,None,1e-07,0,100,-1,0.6905403376479144,2000,1,rf,vmlinux
894710.0,17.82808216958056,25.70515343603259,2.4458600091881153e-06,4.891957668354694,10.715708239701813,20.471602188616068,1079.9310996683587,mse,25,2,1,0.0,auto,None,None,1e-07,0,100,-1,0.6905403376479144,3000,1,rf,vmlinux
884710.0,16.045018648159548,22.71841328288598,4.860212188817536e-06,4.608672358982663,10.043343041627175,18.84889345888073,1085.921133787763,mse,25,2,1,0.0,auto,None,None,1e-07,0,100,-1,0.6905403376479144,4000,1,rf,vmlinux
874710.0,14.968814013670965,20.624503027597026,6.001936982860933e-05,4.4376821592735745,9.6618289026411,17.92414120054536,841.6180889580044,mse,25,2,1,0.0,auto,None,None,1e-07,0,100,-1,0.6905403376479144,5000,1,rf,vmlinux
864710.0,13.996129810221932,18.241140308921544,9.334938941175531e-06,4.250117995038103,9.253801714398833,17.139182572593263,913.6151381969174,mse,25,2,1,0.0,auto,None,None,1e-07,0,100,-1,0.6905403376479144,6000,1,rf,vmlinux
854710.0,13.49654025086765,16.945923602302464,3.3813979683133e-07,4.1913603532444395,9.07010784945938,16.661818152198702,483.61411716581904,mse,25,2,1,0.0,auto,None,None,1e-07,0,100,-1,0.6905403376479144,7000,1,rf,vmlinux
844710.0,12.942099328188553,15.79240620183872,4.278634326103163e-06,4.109714821502555,8.85401883627621,16.211662440832715,1194.3715393317261,mse,25,2,1,0.0,auto,None,None,1e-07,0,100,-1,0.6905403376479144,8000,1,rf,vmlinux
834710.0,12.655573044168108,15.38663796431363,1.6796400787113675e-05,4.024684404987256,8.731292529574121,15.9464447272447,882.9856067456751,mse,25,2,1,0.0,auto,None,None,1e-07,0,100,-1,0.6905403376479144,9000,1,rf,vmlinux
824710.0,12.401892912858687,14.716577640688735,1.740536252587379e-05,3.970225543701363,8.596554501022215,15.701039006880345,695.319475798293,mse,25,2,1,0.0,auto,None,None,1e-07,0,100,-1,0.6905403376479144,10000,1,rf,vmlinux
